county,median_income
Anderson,"$45,969"
Andrews,"$84,946"
Angelina,"$46,653"
Aransas,"$46,912"
Archer,"$61,190"
Armstrong,"$57,210"
Atascosa,"$50,594"
Austin,"$59,942"
Bailey,"$45,051"
Bandera,"$53,008"
Bastrop,"$61,883"
Baylor,"$41,180"
Bee,"$41,806"
Bell,"$54,292"
Bexar,"$54,210"
Blanco,"$64,832"
Borden,"$66,101"
Bosque,"$48,460"
Bowie,"$47,339"
Brazoria,"$74,225"
Brazos,"$50,113"
Brewster,"$45,670"
Briscoe,"$44,409"
Brooks,"$30,116"
Brown,"$47,097"
Burleson,"$53,626"
Burnet,"$56,696"
Caldwell,"$52,588"
Calhoun,"$52,085"
Callahan,"$50,330"
Cameron,"$38,106"
Camp,"$43,714"
Carson,"$64,799"
Cass,"$44,154"
Castro,"$45,689"
Chambers,"$89,513"
Cherokee,"$43,483"
Childress,"$42,291"
Clay,"$58,356"
Cochran,"$42,873"
Coke,"$44,804"
Coleman,"$39,484"
Collin,"$96,936"
Collingsworth,"$39,536"
Colorado,"$48,258"
Comal,"$76,523"
Comanche,"$52,251"
Concho,"$40,987"
Cooke,"$52,047"
Coryell,"$48,099"
Cottle,"$38,304"
Crane,"$61,987"
Crockett,"$49,117"
Crosby,"$37,911"
Culberson,"$42,164"
Dallam,"$50,587"
Dallas,"$59,838"
Dawson,"$43,726"
Deaf Smith,"$44,230"
Delta,"$44,410"
Denton,"$88,384"
DeWitt,"$49,208"
Dickens,"$39,627"
Dimmit,"$37,177"
Donley,"$40,945"
Duval,"$35,156"
Eastland,"$44,773"
Ector,"$60,431"
Edwards,"$37,812"
Ellis,"$76,792"
El Paso,"$43,948"
Erath,"$47,087"
Falls,"$37,428"
Fannin,"$53,111"
Fayette,"$55,776"
Fisher,"$45,261"
Floyd,"$39,891"
Foard,"$37,648"
Fort Bend,"$92,310"
Franklin,"$48,222"
Freestone,"$49,317"
Frio,"$41,038"
Gaines,"$56,321"
Galveston,"$71,959"
Garza,"$46,490"
Gillespie,"$61,433"
Glasscock,"$83,330"
Goliad,"$55,008"
Gonzales,"$49,829"
Gray,"$49,121"
Grayson,"$51,403"
Gregg,"$50,610"
Grimes,"$49,498"
Guadalupe,"$73,864"
Hale,"$42,782"
Hall,"$32,597"
Hamilton,"$49,210"
Hansford,"$57,240"
Hardeman,"$42,469"
Hardin,"$60,909"
Harris,"$60,241"
Harrison,"$50,131"
Hartley,"$72,451"
Haskell,"$40,880"
Hays,"$68,180"
Hemphill,"$66,849"
Henderson,"$43,337"
Hidalgo,"$38,785"
Hill,"$48,670"
Hockley,"$46,764"
Hood,"$60,917"
Hopkins,"$52,079"
Houston,"$39,533"
Howard,"$50,423"
Hudspeth,"$42,671"
Hunt,"$53,360"
Hutchinson,"$54,351"
Irion,"$56,775"
Jack,"$48,780"
Jackson,"$54,088"
Jasper,"$47,551"
Jeff Davis,"$51,343"
Jefferson,"$48,121"
Jim Hogg,"$36,176"
Jim Wells,"$41,919"
Johnson,"$62,635"
Jones,"$43,903"
Karnes,"$48,743"
Kaufman,"$67,434"
Kendall,"$90,937"
Kenedy,"$42,153"
Kent,"$47,625"
Kerr,"$53,704"
Kimble,"$42,503"
King,"$57,925"
Kinney,"$43,192"
Kleberg,"$42,605"
Knox,"$39,726"
Lamar,"$45,767"
Lamb,"$42,700"
Lampasas,"$55,151"
La Salle,"$40,072"
Lavaca,"$51,128"
Lee,"$55,834"
Leon,"$47,065"
Liberty,"$52,577"
Limestone,"$43,226"
Lipscomb,"$57,332"
Live Oak,"$48,814"
Llano,"$54,019"
Loving,"$78,637"
Lubbock,"$50,377"
Lynn,"$43,436"
McCulloch,"$42,719"
McLennan,"$48,858"
McMullen,"$64,633"
Madison,"$45,445"
Marion,"$38,011"
Martin,"$56,484"
Mason,"$49,560"
Matagorda,"$48,830"
Maverick,"$35,594"
Medina,"$59,304"
Menard,"$35,881"
Midland,"$80,189"
Milam,"$46,720"
Mills,"$47,068"
Mitchell,"$48,529"
Montague,"$50,542"
Montgomery,"$77,598"
Moore,"$53,785"
Morris,"$41,418"
Motley,"$41,009"
Nacogdoches,"$45,357"
Navarro,"$46,259"
Newton,"$43,367"
Nolan,"$42,522"
Nueces,"$53,034"
Ochiltree,"$49,845"
Oldham,"$56,590"
Orange,"$56,556"
Palo Pinto,"$46,067"
Panola,"$51,192"
Parker,"$73,718"
Parmer,"$50,539"
Pecos,"$47,008"
Polk,"$46,017"
Potter,"$41,912"
Presidio,"$37,738"
Rains,"$47,572"
Randall,"$69,600"
Reagan,"$65,273"
Real,"$39,506"
Red River,"$42,233"
Reeves,"$45,341"
Refugio,"$44,821"
Roberts,"$67,470"
Robertson,"$44,917"
Rockwall,"$102,858"
Runnels,"$42,205"
Rusk,"$49,788"
Sabine,"$40,641"
San Augustine,"$38,826"
San Jacinto,"$47,028"
San Patricio,"$53,559"
San Saba,"$43,827"
Schleicher,"$47,317"
Scurry,"$53,059"
Shackelford,"$57,126"
Shelby,"$41,961"
Sherman,"$57,052"
Smith,"$56,848"
Somervell,"$63,929"
Starr,"$30,490"
Stephens,"$43,115"
Sterling,"$59,064"
Stonewall,"$46,915"
Sutton,"$54,774"
Swisher,"$43,084"
Tarrant,"$66,059"
Taylor,"$48,040"
Terrell,"$41,413"
Terry,"$41,268"
Throckmorton,"$42,701"
Titus,"$45,604"
Tom Green,"$51,393"
Travis,"$76,255"
Trinity,"$40,486"
Tyler,"$44,041"
Upshur,"$48,554"
Upton,"$53,867"
Uvalde,"$39,725"
Val Verde,"$44,276"
Van Zandt,"$51,152"
Victoria,"$51,646"
Walker,"$43,681"
Waller,"$59,807"
Ward,"$53,621"
Washington,"$54,332"
Webb,"$44,919"
Wharton,"$48,040"
Wheeler,"$48,018"
Wichita,"$47,477"
Wilbarger,"$44,735"
Willacy,"$33,171"
Williamson,"$87,817"
Wilson,"$71,207"
Winkler,"$56,781"
Wise,"$66,387"
Wood,"$48,384"
Yoakum,"$61,560"
Young,"$49,301"
Zapata,"$33,160"
Zavala,"$30,076"